ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2014-01-31,32303.446177474998,5424.924481923306,23907.155737046563,32303.446177474998,32303.446177474998,-17512.8951936443,-17512.8951936443,-17512.8951936443,-17512.8951936443,-17512.8951936443,-17512.8951936443,0.0,0.0,0.0,14790.550983830697
2014-02-28,32773.35106352465,-3639.7082848733057,15119.127591734728,32773.35106352465,32773.35106352465,-26994.700230363742,-26994.700230363742,-26994.700230363742,-26994.700230363742,-26994.700230363742,-26994.700230363742,0.0,0.0,0.0,5778.6508331609075
2014-03-31,33293.60290401086,33050.10177861298,50821.23330802812,33293.60290401086,33293.60290401086,8581.936343506537,8581.936343506537,8581.936343506537,8581.936343506537,8581.936343506537,8581.936343506537,0.0,0.0,0.0,41875.5392475174
2014-04-30,33797.07242706203,16020.324112406313,34673.41964136317,33797.07242706203,33797.07242706203,-8134.451140162216,-8134.451140162216,-8134.451140162216,-8134.451140162216,-8134.451140162216,-8134.451140162216,0.0,0.0,0.0,25662.621286899812
2014-05-31,34317.324268363394,15980.041255121418,35339.72540634312,34317.324268363394,34317.324268363394,-8605.35994512088,-8605.35994512088,-8605.35994512088,-8605.35994512088,-8605.35994512088,-8605.35994512088,0.0,0.0,0.0,25711.964323242515
2014-06-30,34820.79379442034,17661.940364101494,36256.00313473019,34820.79379442034,34820.79379442034,-8109.004659143123,-8109.004659143123,-8109.004659143123,-8109.004659143123,-8109.004659143123,-8109.004659143123,0.0,0.0,0.0,26711.789135277213
2014-07-31,35341.04563801252,17609.237528085243,36571.03487267441,35341.04563801252,35341.04563801252,-8902.85137226741,-8902.85137226741,-8902.85137226741,-8902.85137226741,-8902.85137226741,-8902.85137226741,0.0,0.0,0.0,26438.194265745107
2014-08-31,35861.297481712856,21138.195387436455,39737.83301590461,35861.297481712856,35861.297481712856,-5004.6089470878205,-5004.6089470878205,-5004.6089470878205,-5004.6089470878205,-5004.6089470878205,-5004.6089470878205,0.0,0.0,0.0,30856.688534625035
2014-09-30,36364.76700657109,58455.94937009218,77107.03113748961,36364.76700657109,36364.76700657109,31256.16455264144,31256.16455264144,31256.16455264144,31256.16455264144,31256.16455264144,31256.16455264144,0.0,0.0,0.0,67620.93155921253
2014-10-31,36885.0188489246,27048.015130527187,45735.64802970117,36885.0188489246,36885.0188489246,-807.514505222558,-807.514505222558,-807.514505222558,-807.514505222558,-807.514505222558,-807.514505222558,0.0,0.0,0.0,36077.50434370204
